Hour,Primary Volume (Gallons Storage Temp),Primary Generation (Gallons Storage Temp),HW Demand (Gallons Storage Temp),HW Demand (Gallons Supply Temp),Recirculation Loss to Primary System (Gallons Supply Temp),Theoretical HW Generation (Gallons Supply Temp),Primary Run Time (Min),Input Capacity (kW),Output Capacity (kW),Primary COP,ON Setpoint Tank Volume (%),ON Setpoint Temperature (F),Actual Temperature at ON Setpoint (F),OFF Setpoint Tank Volume (%),OFF Setpoint Temperature (F),Actual Temperature at OFF Setpoint (F),Temperature at 100% Tank Volume (F),Temperature at 75% Tank Volume (F),Temperature at 50% Tank Volume (F),Temperature at 25% Tank Volume (F),Temperature at 0% Tank Volume (F),OAT (F),C02 Emissions (kG)
1080.0,2164.949,489.707,299.5480515078275,390.748,104.40141078663973,809.48,60.0,54.00805,115.32605625000001,2.135349383101223,0.4,122,156.06187938431327,0.4,160,156.06187938431327,160,160,160,114.06187938431329,63.806,51.8,14.706287941487648
1081.0,2207.143,164.451,122.25641265640635,97.687,104.40141078663973,806.953,20.21194757943501,56.31205,114.96605625,2.0415889005994274,0.4,122,160.0,0.4,160,160.0,160,160,160,118.00000000000001,63.806,48.2,5.090636799218163
1082.0,2143.984,0,63.15919599265768,0.0,104.40141078663973,805.69,0.0,57.46405,114.78605625000002,1.9975281284559654,0.4,122,154.10514170735195,0.4,160,154.10514170735195,160,160,160,112.10514170735196,63.806,46.4,0.0
1083.0,2066.05,0,77.93350015859485,24.422,104.40141078663973,805.69,0.0,57.46405,114.78605625000002,1.9975281284559654,0.4,122,146.83134835921646,0.4,160,146.83134835921646,160,160,160,104.83134835921645,63.806,46.4,0.0
1084.0,1988.117,0,77.93350015859485,24.422,104.40141078663973,805.69,0.0,57.46405,114.78605625000002,1.9975281284559654,0.4,122,139.55755501108092,0.4,160,139.55755501108092,160,160,160,97.55755501108094,63.806,46.4,0.0
1085.0,1924.957,0,63.15919599265768,0.0,104.40141078663973,805.437,0.0,57.69445,114.75005625,1.9889271195062956,0.4,122,133.66269671843287,0.4,160,133.66269671843287,160,160,160,91.66269671843288,63.806,46.04,0.0
1086.0,1859.219,86.067,151.80501541836824,146.531,104.40141078663973,804.426,10.611329475785174,58.61605,114.60605625,1.9551992372396296,0.4,122,127.52711656913613,0.4,160,127.52711656913613,160,160,155.52711656913613,85.52711656913613,63.806,44.6,2.658688331732505
1087.0,1795.922,487.414,550.7112111889345,805.918,104.40141078663973,805.69,60.0,57.46405,114.78605625000002,1.9975281284559654,0.4,122,121.61937176240973,0.4,160,121.61937176240973,160,160,149.61937176240974,79.61937176240974,63.806,46.4,16.0425469607361
1088.0,1924.691,487.414,358.64526817157616,488.435,104.40141078663973,805.69,60.0,57.46405,114.78605625000002,1.9975281284559654,0.4,122,133.63778163730342,0.4,160,133.63778163730342,160,160,160,91.63778163730345,63.806,46.4,1.06118751953305
1089.0,1861.393,487.414,550.7112111889345,805.918,104.40141078663973,805.69,60.0,57.46405,114.78605625000002,1.9975281284559654,0.4,122,127.73003683057706,0.4,160,127.73003683057706,160,160,155.73003683057703,85.73003683057706,63.806,46.4,-0.82589223227245
